Source,Target,Weight,edge_type,edge_multiplicity
1,2,1,persona-attribute,1
1,3,1,persona-attribute,1
1,4,1,persona-attribute,1
1,5,1,persona-attribute,1
1,6,1,persona-attribute,1
1,7,1,persona-attribute,1
1,8,1,persona-attribute,1
1,9,1,persona-attribute,1
1,10,1,persona-attribute,1
1,11,1,persona-attribute,1
2,3,1,same-persona,1
2,4,1,same-persona,1
2,5,1,same-persona,1
2,6,1,same-persona,1
2,7,1,same-persona,1
2,8,1,same-persona,1
2,9,1,same-persona,1
2,10,1,same-persona,1
2,11,1,same-persona,1
3,4,1,same-persona,1
3,5,1,same-persona,1
3,6,1,same-persona,1
3,7,1,same-persona,1
3,8,1,same-persona,1
3,9,1,same-persona,1
3,10,1,same-persona,1
3,11,1,same-persona,1
4,5,1,same-persona,1
4,6,1,same-persona,1
4,7,1,same-persona,1
4,8,1,same-persona,1
4,9,1,same-persona,1
4,10,1,same-persona,1
4,11,1,same-persona,1
5,6,1,same-persona,1
5,7,1,same-persona,1
5,8,1,same-persona,1
5,9,1,same-persona,1
5,10,1,same-persona,1
5,11,1,same-persona,1
6,7,1,same-persona,1
6,8,1,same-persona,1
6,9,1,same-persona,1
6,10,1,same-persona,1
6,11,1,same-persona,1
7,8,1,same-persona,1
7,9,1,same-persona,1
7,10,1,same-persona,1
7,11,1,same-persona,1
8,9,1,same-persona,1
8,10,1,same-persona,1
8,11,1,same-persona,1
9,10,1,same-persona,1
9,11,1,same-persona,1
10,11,1,same-persona,1
12,13,1,persona-attribute,1
12,14,1,persona-attribute,1
12,15,1,persona-attribute,1
12,16,1,persona-attribute,1
12,17,1,persona-attribute,1
12,18,1,persona-attribute,1
12,19,1,persona-attribute,1
12,20,1,persona-attribute,1
12,21,1,persona-attribute,1
12,22,1,persona-attribute,1
12,23,1,persona-attribute,1
12,24,1,persona-attribute,1
13,14,1,same-persona,1
13,15,1,same-persona,1
13,16,1,same-persona,1
13,17,1,same-persona,1
13,18,1,same-persona,1
13,19,1,same-persona,1
13,20,1,same-persona,1
13,21,1,same-persona,1
13,22,1,same-persona,1
13,23,1,same-persona,1
13,24,1,same-persona,1
14,15,1,same-persona,1
14,16,1,same-persona,1
14,17,1,same-persona,1
14,18,1,same-persona,1
14,19,1,same-persona,1
14,20,1,same-persona,1
14,21,1,same-persona,1
14,22,1,same-persona,1
14,23,1,same-persona,1
14,24,1,same-persona,1
15,16,1,same-persona,1
15,17,1,same-persona,1
15,18,1,same-persona,1
15,19,1,same-persona,1
15,20,1,same-persona,1
15,21,1,same-persona,1
15,22,1,same-persona,1
15,23,1,same-persona,1
15,24,1,same-persona,1
16,17,1,same-persona,1
16,18,1,same-persona,1
16,19,1,same-persona,1
16,20,1,same-persona,1
16,21,1,same-persona,1
16,22,1,same-persona,1
16,23,1,same-persona,1
16,24,1,same-persona,1
17,18,1,same-persona,1
17,19,1,same-persona,1
17,20,1,same-persona,1
17,21,1,same-persona,1
17,22,1,same-persona,1
17,23,1,same-persona,1
17,24,1,same-persona,1
18,19,1,same-persona,1
18,20,1,same-persona,1
18,21,1,same-persona,1
18,22,1,same-persona,1
18,23,1,same-persona,1
18,24,1,same-persona,1
19,20,1,same-persona,1
19,21,1,same-persona,1
19,22,1,same-persona,1
19,23,1,same-persona,1
19,24,1,same-persona,1
20,21,1,same-persona,1
20,22,1,same-persona,1
20,23,1,same-persona,1
20,24,1,same-persona,1
21,22,1,same-persona,1
21,23,1,same-persona,1
21,24,1,same-persona,1
22,23,1,same-persona,1
22,24,1,same-persona,1
23,24,1,same-persona,1
25,26,1,persona-attribute,1
25,27,1,persona-attribute,1
25,28,1,persona-attribute,1
25,29,1,persona-attribute,1
25,30,1,persona-attribute,1
25,31,1,persona-attribute,1
25,32,1,persona-attribute,1
25,5,1,persona-attribute,1
25,33,1,persona-attribute,1
25,34,1,persona-attribute,1
25,35,1,persona-attribute,1
25,36,1,persona-attribute,1
26,27,1,same-persona,1
26,28,1,same-persona,1
26,29,1,same-persona,1
26,30,1,same-persona,1
26,31,1,same-persona,1
26,32,1,same-persona,1
26,5,1,same-persona,1
26,33,1,same-persona,1
26,34,1,same-persona,1
26,35,1,same-persona,1
26,36,1,same-persona,1
27,28,1,same-persona,1
