Id,Label,content,node_type,node_multiplicity,transcript_id
1,The Hands-On Practitioner,"Students who are motivated by practical application and real-world connections. They crave courses with projects, case studies, and industry connections, becoming frustrated with purely theoretical lectures. They light up when building something tangible or hearing from guest practitioners.",persona,1,1|4
2,Focuses on practical application of theory,Focuses on practical application of theory,attribute,1,
3,Craves hands-on projects and case studies,Craves hands-on projects and case studies,attribute,1,
4,Values industry connections and guest speakers,Values industry connections and guest speakers,attribute,1,
5,Gets frustrated by purely theoretical lectures,Gets frustrated by purely theoretical lectures,attribute,2,
6,Rates project-based courses highly,Rates project-based courses highly,attribute,1,
7,Learns best through 'learning by doing' approaches,Learns best through 'learning by doing' approaches,attribute,1,
8,Wants every lecture to answer 'How would I use this in a job?',Wants every lecture to answer 'How would I use this in a job?',attribute,1,
9,Enjoys building tangible outcomes,Enjoys building tangible outcomes,attribute,1,
10,Seeks experiential learning opportunities,Seeks experiential learning opportunities,attribute,1,
11,Becomes energized when discussing real-world problem solving,Becomes energized when discussing real-world problem solving,attribute,1,
12,The Digital Flexibility Seeker,"Students who value flexibility in when and where they learn, heavily using digital resources. They often juggle part-time work, family, or other commitments, so they need the program to be accommodating. They are self-directed learners when given the proper resources.",persona,1,2|3
13,Values flexibility in learning schedule and location,Values flexibility in learning schedule and location,attribute,1,
14,Relies heavily on digital resources and online materials,Relies heavily on digital resources and online materials,attribute,1,
15,Appreciates recorded lectures and hybrid options,Appreciates recorded lectures and hybrid options,attribute,1,
16,Juggles multiple commitments like work or family,Juggles multiple commitments like work or family,attribute,1,
17,Uses video controls to rewind and pause content,Uses video controls to rewind and pause content,attribute,1,
18,Prefers asynchronous learning content,Prefers asynchronous learning content,attribute,1,
19,Seeks understanding from instructors about attendance flexibility,Seeks understanding from instructors about attendance flexibility,attribute,1,
20,Thrives with online forums and quick email responses,Thrives with online forums and quick email responses,attribute,1,
21,Works at unconventional hours,Works at unconventional hours,attribute,1,
22,Demonstrates self-directed learning habits,Demonstrates self-directed learning habits,attribute,1,
23,Re-watches difficult content until understanding clicks,Re-watches difficult content until understanding clicks,attribute,1,
24,Asks for Zoom access and lecture recordings,Asks for Zoom access and lecture recordings,attribute,1,
25,The Collaborative Team Player,"Students who genuinely enjoy group projects and class discussions, often mentioning fun and exchange when describing teamwork. They flourish in interactive environments and prefer collaborative problem-solving over one-way lectures, though they dislike when effort isn't matched by others.",persona,1,1
26,Enjoys group projects and collaborative work,Enjoys group projects and collaborative work,attribute,1,
27,Values class discussions and peer interaction,Values class discussions and peer interaction,attribute,1,
28,Finds teamwork fun and engaging,Finds teamwork fun and engaging,attribute,1,
29,Appreciates exchange of ideas with others,Appreciates exchange of ideas with others,attribute,1,
